Name           Morpheme       

VOID           void           
IDENTIFIER     lyh            
(              (              
)              )              
{              {              
INT            int            
IDENTIFIER     a              
;              ;              
IDENTIFIER     a              
=              =              
CONSTANT       1              
;              ;              
}              }              
VOID           void           
IDENTIFIER     hlh            
(              (              
INT            int            
IDENTIFIER     a              
)              )              
{              {              
INT            int            
IDENTIFIER     aa             
;              ;              
IDENTIFIER     aa             
=              =              
CONSTANT       1              
;              ;              
IDENTIFIER     a              
[              [              
CONSTANT       1              
]              ]              
=              =              
CONSTANT       0              
;              ;              
IDENTIFIER     i              
=              =              
IDENTIFIER     a              
[              [              
CONSTANT       2              
]              ]              
;              ;              
IDENTIFIER     a              
[              [              
CONSTANT       2              
]              ]              
=              =              
IDENTIFIER     a              
;              ;              
}              }              
VOID           void           
IDENTIFIER     main           
(              (              
)              )              
{              {              
INT            int            
IDENTIFIER     a              
;              ;              
IDENTIFIER     a              
=              =              
CONSTANT       1              
;              ;              
}              }              
